product_category_name_english,avg_review,total_orders,total_sales
cds_dvds_musicals,4.642857142857143,12,1199.43
books_general_interest,4.438502673796791,512,64694.76
books_imported,4.419354838709677,53,6701.89
flowers,4.419354838709677,29,2213.01
costruction_tools_tools,4.415841584158416,97,21069.07
books_technical,4.37546468401487,260,24992.85
food_drink,4.324137931034483,227,27474.43
small_appliances_home_oven_and_coffee,4.32051282051282,75,51229.32
luggage_accessories,4.295944779982744,1034,187151.29
fashion_sport,4.258064516129032,27,3685.01
food,4.228962818003914,450,46428.67
fashion_shoes,4.2234432234432235,240,32674.97
cine_photo,4.216216216216216,65,9553.61
home_appliances_2,4.212686567164179,234,124865.92
music,4.2,38,6901.43
pet_shop,4.197029702970297,1710,311583.11
stationery,4.188339087073264,2311,318105.09
computers,4.184331797235023,181,279121.55
home_appliances,4.174969623329283,764,99300.25
toys,4.162505887894489,3886,619975.71
musical_instruments,4.157303370786517,628,233201.7
small_appliances,4.155937052932761,630,226651.74
agro_industry_and_commerce,4.150793650793651,182,118730.61
cool_stuff,4.140766902119072,3632,781933.97
health_beauty,4.137026239067056,8836,1662963.59
la_cuisine,4.133333333333334,13,2913.53
fashion_bags_accessories,4.130616025937934,1864,219815.55
perfumery,4.128111888111888,3162,508538.03
arts_and_craftmanship,4.125,23,2326.17
tablets_printing_image,4.117647058823529,79,10042.93
dvds_blu_ray,4.114285714285714,59,7935.28
sports_leisure,4.107470364571684,7720,1400223.07
industry_commerce_and_business,4.089219330855019,235,56842.78
costruction_tools_garden,4.080971659919029,194,42472.590000000004
construction_tools_construction,4.067368421052632,748,243218.51
construction_tools_lights,4.065573770491803,244,72967.06
auto,4.064279155188246,3897,855095.68
housewares,4.060428318101214,5884,1097900.09
signaling_and_security,4.055276381909548,140,68488.05
drinks,4.044270833333333,297,71926.13
electronics,4.040325433321542,2550,260021.27
market_place,4.033333333333333,280,45335.92
garden_tools,4.023913997367266,3518,840721.59
christmas_supplies,4.02027027027027,128,18994.77
watches_gifts,4.017691933127739,5624,1430553.48
consoles_games,4.012711864406779,1062,196031.68
baby,4.011642542479547,2885,540374.92
fashion_underwear_beach,3.993006993006993,121,12714.539999999999
air_conditioning,3.9696969696969697,253,91170.66
kitchen_dining_laundry_garden_furniture,3.962962962962963,248,74876.04
home_construction,3.953968253968254,490,136777.0
telephony,3.948849104859335,4199,487189.71
computers_accessories,3.9360888340530535,6689,1599481.06
art,3.935483870967742,202,30992.93
furniture_living_room,3.913793103448276,422,136853.98
furniture_decor,3.912158298067025,6449,1443963.61
home_confort,3.907563025210084,397,84848.25
bed_bath_table,3.890605216510509,9417,1743998.8
construction_tools_safety,3.8484848484848486,167,65691.03
party_supplies,3.847826086956522,39,5966.3099999999995
furniture_bedroom,3.8412698412698414,95,31911.43
audio,3.8408488063660475,350,60388.62
furniture_mattress_and_upholstery,3.8048780487804876,38,5998.54
fashio_female_clothing,3.78,39,5220.07
fixed_telephony,3.6728624535315983,217,207071.05
home_comfort_2,3.642857142857143,24,1710.54
fashion_male_clothing,3.548611111111111,112,17290.98
office_furniture,3.526790750141004,1273,652016.5
diapers_and_hygiene,3.2564102564102564,27,4221.25
