customer_state,avg_delay,max_delay,on_time_rate,orders
AL,-8.5438202247191,50.0,78.65168539325843,397
MA,-9.964763061968409,134.0,82.13851761846902,717
SE,-10.025906735751295,166.0,84.19689119170984,335
PI,-11.465703971119133,161.0,86.10108303249098,476
CE,-11.31183510638298,132.0,86.56914893617021,1279
BA,-10.987848101265822,138.0,88.20253164556962,3256
RJ,-12.026259521582253,188.0,88.4137378056929,12353
PA,-14.258887876025524,165.0,88.87876025524157,946
PB,-13.030448717948717,65.0,88.9423076923077,517
RR,-18.32608695652174,132.0,89.13043478260869,41
ES,-10.603537532355478,181.0,89.34426229508196,1995
RN,-13.696269982238011,137.0,89.69804618117229,474
PE,-13.528260869565218,123.0,90.81521739130434,1593
TO,-12.547904191616766,32.0,91.01796407185628,274
MS,-11.25,29.0,91.27358490566037,701
SC,-11.588915094339622,69.0,91.83962264150944,3547
GO,-12.310647181628392,152.0,93.94572025052193,1957
MT,-14.423290203327172,46.0,94.08502772643253,886
DF,-12.174499387004495,36.0,94.19697588884348,2080
RS,-14.20715396578538,155.0,94.2457231726283,5344
MG,-13.375342668741201,162.0,95.68793065125584,11355
SP,-11.233758783880683,175.0,95.68949622011432,40495
RO,-19.98220640569395,15.0,96.08540925266904,243
PR,-13.463522225992534,73.0,96.13165931455717,4923
AP,-18.650602409638555,144.0,96.3855421686747,67
AC,-21.180851063829788,31.0,96.80851063829788,80
AM,-19.847058823529412,104.0,97.05882352941177,145
