order_month,total_orders,total_revenue,avg_ticket
2016-09,4,252.24,84.08
2016-10,324,58311.68,179.97432098765432
2016-12,1,19.62,19.62
2017-01,800,135810.82,169.76352500000002
2017-02,1780,286452.39,160.92830898876406
2017-03,2682,443608.68,165.40219239373602
2017-04,2404,406202.88,168.9695840266223
2017-05,3700,578977.22,156.48032972972973
2017-06,3245,503401.47,155.13142372881356
2017-07,4026,579426.49,143.9211351217089
2017-08,4331,659971.3,152.3831216809051
2017-09,4285,713328.57,166.4710781796966
2017-10,4631,765470.55,165.2927121572015
2017-11,7544,1177298.47,156.05759146341464
2017-12,5673,863771.1,152.26002115282918
2018-01,7269,1096716.16,150.87579584537073
2018-02,6728,980020.64,145.66299643281806
2018-03,7211,1141170.01,158.25405768964083
2018-04,6939,1146254.06,165.19009367343997
2018-05,6873,1140268.49,165.90549832678596
2018-06,6167,1002092.03,162.49262688503325
2018-07,6292,1051671.7,167.1442625556262
2018-08,6512,1009284.88,154.98846437346438
2018-09,16,4439.54,277.47125
2018-10,4,589.6700000000001,147.41750000000002
